NORAD ID,Name,International Code,launch date ,Period (minutes),Status,Beacon (MHz),Category,magnitude,PRN,Longitude,SV,isFavourite
39267,DANDE,2013-055C,,101.4,Inactive,436.75,Amateur radio,,,,,
39266,CUSAT,2013-055B,,100.4,Inactive,437.405,Amateur radio,,,,,
39161,ESTCUBE 1,2013-021C,,97.8,Active,437.254,Amateur radio,,,,,
39153,CUBEBUG 1,2013-018D,,97.3,Inactive,437.438,Amateur radio,,,,,
39152,TURKSAT 3UÊÊCÊ,2013-018C,,97.3,Inactive,437.225,Amateur radio,,,,,
39151,NEE 01 PEGASUS,2013-018B,,97.3,Non-amateur,,Amateur radio,,,,,
39136,BEESAT-2,2013-015G,,95,Active,435.95,Amateur radio,,,,,
39135,BEESAT-3,2013-015F,,94.9,Active,435.95,Amateur radio,,,,,
39134,SOMP,2013-015E,,94.8,Active,437.503,Amateur radio,,,,,
39133,AIST 2,2013-015D,,95.7,Inactive,435.265,Amateur radio,,,,,
39133,AIST 2,2013-015D,,95.7,Inactive,,Amateur radio,,,,,
39092,BRITE-U UNIBRITE,2013-009G,,100.4,Inactive,145.89,Amateur radio,,,,,
39091,BRITE-A TUGSAT-1,2013-009F,,100.3,Inactive,2234.4,Amateur radio,,,,,
39090,STRAND 1,2013-009E,,100.3,Active,437.568,Amateur radio,,,,,
39087,AAUSAT3,2013-009B,,100.3,Inactive,437.425,Amateur radio,,,,,
38763,CP5,2012-048F,,96.4,Inactive,437.405,Amateur radio,,,,,
38762,CXBN,2012-048E,,-,Inactive,437.525,Amateur radio,,,,,
38761,CSSWE,2012-048D,,96.6,Inactive,437.349,Amateur radio,,,,,
38760,AENEAS,2012-048C,,95.7,Inactive,437.6,Amateur radio,,,,,
38756,PROITERES,2012-047B,,97.5,Inactive,437.485,Amateur radio,,,,,
38736,GONETS M 04,2012-041D,,115.8,Inactive,,Amateur radio,,,,,
38340,HORYU 2,2012-025D,,97.6,Inactive,437.375,Amateur radio,,,,,
38338,KOMPSAT 3,2012-025B,,98.5,,,Amateur radio,,,,,
38078,ALMASAT-1,2012-006B,,92.9,Inactive,437.465,Amateur radio,,,,,
38077,LARES,2012-006A,,114.7,Non-amateur,,Amateur radio,,,,,
37855,M-CUBED/EXP-1 PRIME,2011-061F,,95.7,Active,437.485,Amateur radio,,,,,
37855,M-CUBED/EXP-1 PRIMEÊÊCÊ,2011-061F,,95.7,Active,437.502,Amateur radio,,,,,
37854,AUBIESAT-1,2011-061E,,95.6,Inactive,437.473,Amateur radio,,,,,
37853,RAX-2,2011-061D,,95.8,Inactive,437.345,Amateur radio,,,,,
37841,SRMSATÊÊCÊ,2011-058D,,102.1,Active,437.425,Amateur radio,,,,,
37839,JUGNU,2011-058B,,101.9,Active,437.276,Amateur radio,,,,,
37380,FAST 2 (USA 228)ÊÊCÊ,2010-062M,,97.5,Inactive,145.825,Amateur radio,,,,,
37380,FAST 2 (USA 228)ÊÊCÊ,2010-062M,,97.5,Inactive,145.825,Amateur radio,,,,,
37227,FAST 1 (USA 222)ÊÊCÊ,2010-062F,,97.5,Inactive,437.342,Amateur radio,,,,,
37227,FAST 1 (USA 222)ÊÊCÊ,2010-062F,,97.5,Inactive,437.342,Amateur radio,,,,,
37224,O/OREOS (USA 219),2010-062C,,97.2,Inactive,437.3,Amateur radio,,,,,
37223,RAX (USA 218),2010-062B,,-,Inactive,437.505,Amateur radio,,,,,
36799,TISAT 1ÊÊCÊ,2010-035E,,96.6,Inactive,145.98,Amateur radio,,,,,
36796,STUDSATÊÊCÊ,2010-035B,,96.8,Inactive,437.861,Amateur radio,,,,,
36578,UNITEC-1,2010-020F,,-,d,5840,Amateur radio,,,,,
36122,XIWANG-1 (HOPE-1)ÊÊCÊ,2009-072B,,109.4,Inactive,,Amateur radio,,,,,
36122,XIWANG-1 (HOPE-1)ÊÊCÊ,2009-072B,,109.4,Inactive,,Amateur radio,,,,,
36122,XIWANG-1 (HOPE-1),2009-072B,,109.4,Active,435.79,Amateur radio,,,,,
35935,ITUPSAT 1,2009-051E,,98.9,Active,437.325,Amateur radio,,,,,
